Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,604
Validator,HIPBLASLT_VERSION,1201-65cf3183
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.4.1.f08d23e3
GemmTunableOp_BFloat16_TN,tn_3072_743_3072_ld_3072_3072_3072,Gemm_Rocblas_1140855591,0.189727
GemmTunableOp_BFloat16_TN,tn_12288_17402_3072_ld_3072_3072_12288,Gemm_Rocblas_1140855634,15.1827
GemmTunableOp_BFloat16_TN,tn_3072_1_256_ld_256_256_3072,Gemm_Rocblas_1140855618,0.0271837
GemmTunableOp_BFloat16_TN,tn_3072_1_4096_ld_4096_4096_3072,Gemm_Rocblas_1140855602,0.0586481
GemmTunableOp_BFloat16_TN,tn_3072_512_4096_ld_4096_4096_3072,Default,0.167576
GemmTunableOp_BFloat16_TN,tn_9216_729_1152_ld_1152_1152_9216,Default,0.178488
GemmTunableOp_BFloat16_TN,tn_3072_512_3072_ld_3072_3072_3072,Gemm_Rocblas_1140855586,0.134714
GemmTunableOp_BFloat16_TN,tn_3072_17402_3072_ld_3072_3072_3072,Gemm_Rocblas_1140855640,3.54302
GemmTunableOp_BFloat16_TN,tn_3072_1_768_ld_768_768_3072,Gemm_Rocblas_1140855620,0.0366975
GemmTunableOp_BFloat16_TN,tn_6144_1_3072_ld_3072_3072_6144,Gemm_Rocblas_1140855603,0.0535826
GemmTunableOp_BFloat16_TN,tn_3072_729_9216_ld_9216_9216_3072,Gemm_Rocblas_1140855576,0.497742
GemmTunableOp_BFloat16_TN,tn_12288_512_3072_ld_3072_3072_12288,Gemm_Rocblas_1140855629,0.493024
GemmTunableOp_BFloat16_TN,tn_3072_1_3072_ld_3072_3072_3072,Gemm_Rocblas_1140855617,0.0524466
GemmTunableOp_BFloat16_TN,tn_3072_512_12288_ld_12288_12288_3072,Default,0.430798
GemmTunableOp_BFloat16_TN,tn_18432_1_3072_ld_3072_3072_18432,Gemm_Rocblas_1140855636,0.171107
GemmStridedBatchedTunableOp_Half_NN,nn_72_1_729_B_16_ld_1152_729_72,Gemm_Rocblas_1140856197,0.0307047
GemmStridedBatchedTunableOp_Half_TN,tn_729_1_72_B_16_ld_1152_1152_729,Gemm_Rocblas_1140850871,0.0235607
GemmTunableOp_float_TN,tn_384_384_512_ld_512_512_384,Gemm_Rocblas_1140857274,0.0465139
GemmTunableOp_float_TN,tn_96_96_512_ld_512_512_96,Gemm_Rocblas_1140857231,0.0365792
GemmTunableOp_float_TN,tn_256_256_512_ld_512_512_256,Gemm_Rocblas_1140857090,0.0431242
GemmTunableOp_float_TN,tn_1024_1024_512_ld_512_512_1024,Gemm_Rocblas_1140857024,0.0878891
GemmTunableOp_Half_TT,tt_512_96_512_ld_512_96_512,Gemm_Rocblas_1140855900,0.0234011
GemmTunableOp_Half_TT,tt_512_384_512_ld_512_384_512,Gemm_Rocblas_1140855833,0.0319442
GemmTunableOp_Half_TT,tt_512_256_512_ld_512_256_512,Gemm_Rocblas_1140855895,0.0305731
GemmTunableOp_Half_TT,tt_512_1024_512_ld_512_1024_512,Gemm_Rocblas_1140855825,0.0375702
GemmTunableOp_Half_TN,tn_1152_1_4304_ld_4304_4304_1152,Gemm_Hipblaslt_6091,0.048181
GemmTunableOp_Half_TN,tn_4304_1_1152_ld_1152_1152_4304,Gemm_Rocblas_1140850956,0.0324926
GemmTunableOp_Half_TN,tn_2304_729_1152_ld_1152_1152_2304,Gemm_Rocblas_1140850999,0.0856477
GemmTunableOp_Half_TN,tn_1152_1_1152_ld_1152_1152_1152,Gemm_Rocblas_1140850968,0.0335922
GemmTunableOp_Half_TN,tn_1152_729_4304_ld_4304_4304_1152,Gemm_Rocblas_1140850988,0.105711
GemmTunableOp_Half_TN,tn_1024_351_4096_ld_4096_4096_1024,Gemm_Rocblas_1140850990,0.0701765
GemmTunableOp_Half_TN,tn_4096_351_4096_ld_4096_4096_4096,Gemm_Rocblas_1140851010,0.164614
GemmTunableOp_Half_TN,tn_14336_351_4096_ld_4096_4096_14336,Gemm_Rocblas_1140851001,0.526593
GemmTunableOp_Half_TN,tn_512_256_512_ld_512_512_512,Gemm_Rocblas_1140850960,0.0292954
GemmTunableOp_Half_TN,tn_512_96_512_ld_512_512_512,Gemm_Rocblas_1140850965,0.0324374
GemmTunableOp_Half_TN,tn_4096_351_14336_ld_14336_14336_4096,Gemm_Rocblas_1140850949,0.50699
GemmTunableOp_Half_TN,tn_768_77_3072_ld_3072_3072_768,Gemm_Hipblaslt_6141,0.0656909
